PRIMARY VOTES	RUNOFF VOTES	GENERAL VOTES 	
14941			
		842	
14941		260863	
			
			
			
6162		114590	
4246			
1033			
11441			
		78	
11441		265282	
			
			
			
		220	
		292988	
			
			
			
		253	
		313452	
			
			
			
		17	
		284271	
			
			
11677		137250	
7830			
19507			
			
		95	
19507		317534	
			
299930		6469725	
			
		4822330	
		1758702	
75924		1517578	
54196			
21002			
151122			
		2012	
151122		6679678	
			
			
89531		254644	
20822			
110353			
110353		338066	
			
37661		174066	
20099			
6535			
2982			
67277			
24327		128973	
20431			
3238			
47996			
115273		311397	
			
42644		195571	
19166			
61810			
61810		309885	
			
14065		88951	
10430			
5811			
30306			
30306		348485	
			
38512		148252	
16716			
55228			
55228		349197	
			
50701		222116	
19741			
18057			
88499			
88499		364583	
			
34647		168041	
31752			
5012			
71411			
71411		336736	
			
21451	10699	160695	
14687	6118		
12181			
9670			
8894			
66883	16817		
45987		137139	
17393			
63380			
		3990	
		456	
130263	16817	302280	
			
29999	18982	194537	
23401	16902		
11336			
9691			
5515			
4526			
2297			
2056			
2047			
1000			
579			
92447	35884		
92447	35884	375690	
			
58844		190826	
15936			
6337			
81117			
36791		144023	
16865			
9908			
63564			
144681		334849	
			
35733	17520	190319	
22306	5471		
13353			
10697			
5825			
3970			
1799			
778			
94461	22991		
35518		141107	
19161			
9049			
63728			
158189	22991	331426	
			
52968		247591	
12495			
65463			
65463		310908	
			
37341		210495	
29354			
19119			
85814			
45865		160115	
22703			
68568			
154382		370610	
			
1278305	75692	4384112	
			
			
54405		173433	
45415			
113			
99933			
51750		131869	
74			
51824			
655		10261	
10			
665			
25			
4			
1			
1			
1			
1			
1			
1			
1			
36			
		508	
152458		316071	
			
152458		316071	
			
57246		161163	
87			
